cell_type	gene	expressed
K562	FOXJ3	TRUE
K562	ZMYND12	TRUE
K562	PPCS	TRUE
K562	PPIH	TRUE
K562	YBX1	TRUE
K562	CLDN19	TRUE
K562	P3H1	TRUE
K562	C1orf50	TRUE
K562	SVBP	TRUE
K562	ERMAP	TRUE
K562	ZNF691	TRUE
K562	SLC2A1-AS1	TRUE
K562	SLC2A1	TRUE
K562	FAM183A	TRUE
K562	EBNA1BP2	TRUE
K562	CFAP57	TRUE
K562	TMEM125	TRUE
K562	C1orf210	TRUE
K562	CDC20	TRUE
K562	ELOVL1	TRUE
K562	MED8	TRUE
K562	SZT2	TRUE
K562	HYI	TRUE
K562	PTPRF	TRUE
K562	KDM4A	TRUE
K562	ST3GAL3	TRUE
K562	IPO13	TRUE
K562	DPH2	TRUE
K562	ATP6V0B	TRUE
K562	B4GALT2	TRUE
K562	CCDC24	TRUE
K562	DMAP1	TRUE
K562	ERI3	TRUE
K562	TMEM53	TRUE
K562	C1orf228	TRUE
K562	KIF2C	TRUE
K562	RPS8	TRUE
K562	BEST4	TRUE
K562	PLK3	TRUE
K562	TCTEX1D4	TRUE
K562	BTBD19	TRUE
K562	PTCH2	TRUE
K562	EIF2B3	TRUE
K562	HECTD3	TRUE
K562	UROD	TRUE
K562	ZSWIM5	TRUE
K562	LINC01144	TRUE
K562	TOE1	TRUE
K562	MUTYH	TRUE
K562	TESK2	TRUE
K562	CCDC163	TRUE
K562	MMACHC	TRUE
K562	PRDX1	TRUE
K562	AKR1A1	TRUE
K562	NASP	TRUE
K562	CCDC17	TRUE
K562	GPBP1L1	TRUE
K562	TMEM69	TRUE
K562	IPP	TRUE
K562	MAST2	TRUE
K562	PIK3R3	TRUE
K562	TSPAN1	TRUE
K562	POMGNT1	TRUE
K562	LURAP1	TRUE
K562	RAD54L	TRUE
K562	LRRC41	TRUE
K562	UQCRH	TRUE
K562	NSUN4	TRUE
K562	LINC01398	TRUE
K562	DMBX1	TRUE
K562	KNCN	TRUE
K562	MKNK1	TRUE
K562	MOB3C	TRUE
K562	ATPAF1	TRUE
K562	TEX38	TRUE
K562	EFCAB14	TRUE
K562	CYP4B1	TRUE
K562	CYP4X1	TRUE
K562	PDZK1IP1	TRUE
K562	TAL1	TRUE
K562	STIL	TRUE
K562	CMPK1	TRUE
K562	FOXD2-AS1	TRUE
K562	FOXD2	TRUE
K562	SPATA6	TRUE
K562	AGBL4	TRUE
K562	FAF1	TRUE
K562	CDKN2C	TRUE
K562	RNF11	TRUE
K562	TTC39A	TRUE
K562	EPS15	TRUE
K562	OSBPL9	TRUE
K562	NRDC	TRUE
K562	RAB3B	TRUE
K562	KTI12	TRUE
K562	TXNDC12	TRUE
K562	BTF3L4	TRUE
K562	ZFYVE9	TRUE
K562	CC2D1B	TRUE
K562	ORC1	TRUE
K562	PRPF38A	TRUE
K562	ZCCHC11	TRUE
K562	COA7	TRUE
K562	ZYG11B	TRUE
K562	ZYG11A	TRUE
K562	SCP2	TRUE
K562	SLC1A7	TRUE
K562	CPT2	TRUE
K562	C1orf123	TRUE
K562	MAGOH	TRUE
K562	LRP8	TRUE
K562	LINC01771	TRUE
K562	DMRTB1	TRUE
K562	NDC1	TRUE
K562	YIPF1	TRUE
K562	DIO1	TRUE
K562	HSPB11	TRUE
K562	LRRC42	TRUE
K562	TMEM59	TRUE
K562	TCEANC2	TRUE
K562	CDCP2	TRUE
K562	CYB5RL	TRUE
K562	MRPL37	TRUE
K562	SSBP3	TRUE
K562	TTC4	TRUE
K562	PARS2	TRUE
K562	TTC22	TRUE
K562	LEXM	TRUE
K562	DHCR24	TRUE
K562	BSND	TRUE
K562	PCSK9	TRUE
K562	USP24	TRUE
K562	C1orf168	TRUE
K562	OMA1	TRUE
K562	MYSM1	TRUE
K562	JUN	TRUE
K562	LINC01135	TRUE
K562	LINC01358	TRUE
K562	HSD52	TRUE
K562	FGGY	TRUE
K562	NFIA	TRUE
K562	NFIA-AS1	TRUE
K562	TM2D1	TRUE
K562	L1TD1	TRUE
K562	KANK4	TRUE
K562	USP1	TRUE
K562	DOCK7	TRUE
K562	ATG4C	TRUE
K562	LINC00466	TRUE
K562	FOXD3	TRUE
K562	ALG6	TRUE
K562	ITGB3BP	TRUE
K562	EFCAB7	TRUE
K562	ROR1	TRUE
K562	UBE2U	TRUE
K562	RAVER2	TRUE
K562	JAK1	TRUE
K562	LINC01359	TRUE
K562	AK4	TRUE
K562	DNAJC6	TRUE
K562	LEPROT	TRUE
K562	LEPR	TRUE
K562	SGIP1	TRUE
K562	TCTEX1D1	TRUE
K562	WDR78	TRUE
K562	MIER1	TRUE
K562	SLC35D1	TRUE
K562	C1orf141	TRUE
K562	IL23R	TRUE
K562	SERBP1	TRUE
K562	GADD45A	TRUE
K562	GNG12	TRUE
K562	DIRAS3	TRUE
K562	WLS	TRUE
K562	DEPDC1	TRUE
K562	LRRC40	TRUE
K562	SRSF11	TRUE
K562	ANKRD13C	TRUE
K562	HHLA3	TRUE
K562	CTH	TRUE
K562	LINC01788	TRUE
K562	PTGER3	TRUE
K562	ZRANB2	TRUE
K562	ZRANB2-AS2	TRUE
K562	LRRIQ3	TRUE
K562	FPGT	TRUE
K562	FPGT-TNNI3K	TRUE
K562	TYW3	TRUE
K562	CRYZ	TRUE
K562	ACADM	TRUE
K562	RABGGTB	TRUE
K562	MSH4	TRUE
K562	ST6GALNAC3	TRUE
K562	PIGK	TRUE
K562	AK5	TRUE
K562	ZZZ3	TRUE
K562	USP33	TRUE
K562	MIGA1	TRUE
K562	NEXN	TRUE
K562	DNAJB4	TRUE
K562	FUBP1	TRUE
K562	LINC01725	TRUE
K562	TTLL7	TRUE
K562	PRKACB	TRUE
K562	SAMD13	TRUE
K562	RPF1	TRUE
K562	SPATA1	TRUE
K562	GNG5	TRUE
K562	CTBS	TRUE
K562	LINC01555	TRUE
K562	SSX2IP	TRUE
K562	MCOLN3	TRUE
K562	WDR63	TRUE
K562	SYDE2	TRUE
K562	C1orf52	TRUE
K562	BCL10	TRUE
K562	CYR61	TRUE
K562	ZNHIT6	TRUE
K562	ODF2L	TRUE
K562	CLCA2	TRUE
K562	CLCA1	TRUE
K562	SH3GLB1	TRUE
K562	SELENOF	TRUE
K562	HS2ST1	TRUE
K562	LINC01140	TRUE
K562	LMO4	TRUE
K562	PKN2	TRUE
K562	GTF2B	TRUE
K562	KYAT3	TRUE
K562	RBMXL1	TRUE
K562	GBP3	TRUE
K562	GBP2	TRUE
K562	GBP6	TRUE
K562	LRRC8B	TRUE
K562	LRRC8C	TRUE
K562	LRRC8D	TRUE
K562	ZNF326	TRUE
K562	ZNF644	TRUE
K562	HFM1	TRUE
K562	CDC7	TRUE
K562	TGFBR3	TRUE
K562	BRDT	TRUE
K562	EPHX4	TRUE
K562	BTBD8	TRUE
K562	C1orf146	TRUE
K562	RPAP2	TRUE
K562	GLMN	TRUE
K562	GFI1	TRUE
K562	EVI5	TRUE
K562	RPL5	TRUE
K562	FAM69A	TRUE
K562	MTF2	TRUE
K562	TMED5	TRUE
K562	CCDC18	TRUE
K562	CCDC18-AS1	TRUE
K562	DR1	TRUE
K562	FNBP1L	TRUE
K562	BCAR3	TRUE
K562	DNTTIP2	TRUE
K562	GCLM	TRUE
K562	ABCD3	TRUE
K562	F3	TRUE
K562	CNN3	TRUE
K562	ALG14	TRUE
K562	TMEM56	TRUE
K562	TMEM56-RWDD3	TRUE
K562	RWDD3	TRUE
K562	LINC01760	TRUE
K562	PTBP2	TRUE
K562	DPYD	TRUE
K562	PALMD	TRUE
K562	FRRS1	TRUE
K562	AGL	TRUE
K562	SLC35A3	TRUE
K562	MFSD14A	TRUE
K562	SASS6	TRUE
K562	TRMT13	TRUE
K562	LRRC39	TRUE
K562	DBT	TRUE
K562	RTCA	TRUE
K562	RTCA-AS1	TRUE
K562	CDC14A	TRUE
K562	LINC01349	TRUE
K562	EXTL2	TRUE
K562	SLC30A7	TRUE
K562	DPH5	TRUE
K562	RNPC3	TRUE
K562	PRMT6	TRUE
K562	SLC25A24	TRUE
K562	FAM102B	TRUE
K562	HENMT1	TRUE
K562	PRPF38B	TRUE
K562	FNDC7	TRUE
K562	STXBP3	TRUE
K562	AKNAD1	TRUE
K562	GPSM2	TRUE
K562	CLCC1	TRUE
K562	WDR47	TRUE
K562	TAF13	TRUE
K562	TMEM167B	TRUE
K562	C1orf194	TRUE
K562	KIAA1324	TRUE
K562	SARS	TRUE
K562	CELSR2	TRUE
K562	PSRC1	TRUE
K562	MYBPHL	TRUE
K562	SORT1	TRUE
K562	PSMA5	TRUE
K562	SYPL2	TRUE
K562	ATXN7L2	TRUE
K562	CYB561D1	TRUE
K562	AMIGO1	TRUE
K562	GPR61	TRUE
K562	GNAI3	TRUE
K562	GNAT2	TRUE
K562	AMPD2	TRUE
K562	GSTM4	TRUE
K562	GSTM2	TRUE
K562	GSTM3	TRUE
K562	EPS8L3	TRUE
K562	CSF1	TRUE
K562	AHCYL1	TRUE
K562	STRIP1	TRUE
K562	ALX3	TRUE
K562	UBL4B	TRUE
K562	KCNC4	TRUE
K562	RBM15	TRUE
K562	SLC16A4	TRUE
K562	LAMTOR5-AS1	TRUE
K562	LAMTOR5	TRUE
K562	PROK1	TRUE
K562	CYMP-AS1	TRUE
K562	KCNA2	TRUE
K562	CD53	TRUE
K562	LRIF1	TRUE
K562	CEPT1	TRUE
K562	DRAM2	TRUE
K562	DENND2D	TRUE
K562	CHI3L2	TRUE
K562	PIFO	TRUE
K562	OVGP1	TRUE
K562	ATP5F1	TRUE
K562	WDR77	TRUE
K562	C1orf162	TRUE
K562	ADORA3	TRUE
K562	TMIGD3	TRUE
K562	RAP1A	TRUE
K562	FAM212B	TRUE
K562	DDX20	TRUE
K562	KCND3	TRUE
K562	CTTNBP2NL	TRUE
K562	WNT2B	TRUE
K562	ST7L	TRUE
K562	CAPZA1	TRUE
K562	MOV10	TRUE
K562	RHOC	TRUE
K562	PPM1J	TRUE
K562	FAM19A3	TRUE
K562	SLC16A1	TRUE
K562	LRIG2	TRUE
K562	MAGI3	TRUE
K562	PHTF1	TRUE
K562	RSBN1	TRUE
K562	PTPN22	TRUE
K562	BCL2L15	TRUE
K562	AP4B1	TRUE
K562	DCLRE1B	TRUE
K562	HIPK1	TRUE
K562	OLFML3	TRUE
K562	TRIM33	TRUE
K562	BCAS2	TRUE
K562	DENND2C	TRUE
K562	AMPD1	TRUE
K562	NRAS	TRUE
K562	CSDE1	TRUE
K562	SIKE1	TRUE
K562	SYCP1	TRUE
K562	TSPAN2	TRUE
K562	VANGL1	TRUE
K562	CASQ2	TRUE
K562	SLC22A15	TRUE
K562	MAB21L3	TRUE
K562	ATP1A1	TRUE
K562	ATP1A1-AS1	TRUE
K562	LINC01762	TRUE
K562	CD58	TRUE
K562	IGSF3	TRUE
K562	C1orf137	TRUE
K562	CD2	TRUE
K562	PTGFRN	TRUE
