type	dataset	dist_bin	total_pairs	significant_pairs	negative_pairs	positive_pairs	positive_rate_significant	positive_rate_negative	positive_rate_positive	mean_dist
heldout	Xie2019	(1e+05,1.5e+05]	253	8	8	0	0.03162055335968379	0.03162055335968379	0	123811.04743083005
heldout	Xie2019	(1.5e+05,2e+05]	238	7	5	2	0.02941176470588235	0.02100840336134454	0.00840336134453781	177090.61764705885
heldout	Xie2019	(2e+05,2.5e+05]	240	0	0	0	0	0	0	225108.62916666668
heldout	Xie2019	(2.5e+05,3e+05]	231	0	0	0	0	0	0	275365.33766233764
heldout	Xie2019	(3e+05,3.5e+05]	232	2	2	0	0.00862068965517241	0.00862068965517241	0	324600.8793103448
heldout	Xie2019	(3.5e+05,4e+05]	214	1	0	1	0.00467289719626168	0	0.00467289719626168	375713.7663551402
heldout	Xie2019	(4e+05,4.5e+05]	192	2	2	0	0.01041666666666666	0.01041666666666666	0	423678.3697916667
heldout	Xie2019	(4.5e+05,5e+05]	192	0	0	0	0	0	0	475317.9791666667
heldout	Xie2019	(5e+05,5.5e+05]	194	2	1	1	0.01030927835051546	0.00515463917525773	0.00515463917525773	523138.8350515464
heldout	Xie2019	(5.5e+05,6e+05]	175	0	0	0	0	0	0	574555.2285714286
heldout	Xie2019	(6e+05,6.5e+05]	210	0	0	0	0	0	0	626212.3095238095
heldout	Xie2019	(6.5e+05,7e+05]	209	0	0	0	0	0	0	674015.5167464114
heldout	Xie2019	(7e+05,7.5e+05]	178	0	0	0	0	0	0	724019.4325842697
heldout	Xie2019	(7.5e+05,8e+05]	198	0	0	0	0	0	0	774315.6616161616
heldout	Xie2019	(8e+05,8.5e+05]	146	0	0	0	0	0	0	823910.1027397261
heldout	Xie2019	(8.5e+05,9e+05]	192	1	0	1	0.00520833333333333	0	0.00520833333333333	872692.1041666666
heldout	Xie2019	(9e+05,9.5e+05]	195	0	0	0	0	0	0	926140.317948718
heldout	Xie2019	(9.5e+05,1e+06]	159	1	1	0	0.00628930817610062	0.00628930817610062	0	975380.0943396228
heldout	Morris2023_v1	[0,5e+04]	65	15	12	3	0.2307692307692308	0.18461538461538465	0.04615384615384615	23968.2
heldout	Morris2023_v1	(5e+04,1e+05]	60	10	9	1	0.16666666666666666	0.15	0.01666666666666666	72331.25
heldout	Morris2023_v1	(1e+05,1.5e+05]	52	2	1	1	0.03846153846153846	0.01923076923076923	0.01923076923076923	125249.92307692308
heldout	Morris2023_v1	(1.5e+05,2e+05]	56	1	1	0	0.01785714285714285	0.01785714285714285	0	171664.2142857143
heldout	Morris2023_v1	(2e+05,2.5e+05]	49	0	0	0	0	0	0	220302.67346938775
heldout	Morris2023_v1	(2.5e+05,3e+05]	57	0	0	0	0	0	0	277688.1929824561
heldout	Morris2023_v1	(3e+05,3.5e+05]	55	3	0	3	0.05454545454545454	0	0.05454545454545454	325379.94545454544
heldout	Morris2023_v1	(3.5e+05,4e+05]	51	1	0	1	0.0196078431372549	0	0.0196078431372549	371774.2745098039
heldout	Morris2023_v1	(4e+05,4.5e+05]	35	1	0	1	0.02857142857142857	0	0.02857142857142857	426596.2571428571
heldout	Morris2023_v1	(4.5e+05,5e+05]	38	0	0	0	0	0	0	472033.65789473685
heldout	Morris2023_v1	(5e+05,5.5e+05]	42	1	0	1	0.0238095238095238	0	0.0238095238095238	526676.0714285715
heldout	Morris2023_v1	(5.5e+05,6e+05]	40	0	0	0	0	0	0	573974.15
heldout	Morris2023_v1	(6e+05,6.5e+05]	34	1	1	0	0.02941176470588235	0.02941176470588235	0	622330.5294117647
heldout	Morris2023_v1	(6.5e+05,7e+05]	27	1	0	1	0.03703703703703703	0	0.03703703703703703	676855.2592592592
heldout	Morris2023_v1	(7e+05,7.5e+05]	36	1	0	1	0.02777777777777777	0	0.02777777777777777	729931.3333333334
heldout	Morris2023_v1	(7.5e+05,8e+05]	42	0	0	0	0	0	0	776732.9285714285
heldout	Morris2023_v1	(8e+05,8.5e+05]	39	0	0	0	0	0	0	823438.282051282
heldout	Morris2023_v1	(8.5e+05,9e+05]	32	1	1	0	0.03125	0.03125	0	874204.46875
heldout	Morris2023_v1	(9e+05,9.5e+05]	49	0	0	0	0	0	0	922833.8979591836
heldout	Morris2023_v1	(9.5e+05,1e+06]	33	0	0	0	0	0	0	976009.2424242424
heldout	Morris2023_v2	[0,5e+04]	142	17	16	1	0.11971830985915492	0.11267605633802816	0.00704225352112676	23455.274647887323
heldout	Morris2023_v2	(5e+04,1e+05]	154	5	5	0	0.03246753246753246	0.03246753246753246	0	73602.55194805194
heldout	Morris2023_v2	(1e+05,1.5e+05]	142	6	6	0	0.04225352112676056	0.04225352112676056	0	125212.54929577465
heldout	Morris2023_v2	(1.5e+05,2e+05]	149	0	0	0	0	0	0	176579.61744966442
heldout	Morris2023_v2	(2e+05,2.5e+05]	146	0	0	0	0	0	0	225028.15753424657
heldout	Morris2023_v2	(2.5e+05,3e+05]	133	1	1	0	0.0075187969924812	0.0075187969924812	0	271893.45112781954
heldout	Morris2023_v2	(3e+05,3.5e+05]	113	1	0	1	0.00884955752212389	0	0.00884955752212389	323491.6902654867
heldout	Morris2023_v2	(3.5e+05,4e+05]	130	0	0	0	0	0	0	373614.8769230769
heldout	Morris2023_v2	(4e+05,4.5e+05]	133	1	1	0	0.0075187969924812	0.0075187969924812	0	424309.80451127817
heldout	Morris2023_v2	(4.5e+05,5e+05]	106	0	0	0	0	0	0	473385.74528301886
heldout	Morris2023_v2	(5e+05,5.5e+05]	127	0	0	0	0	0	0	523458.3228346457
heldout	Morris2023_v2	(5.5e+05,6e+05]	94	0	0	0	0	0	0	577551.6170212766
heldout	Morris2023_v2	(6e+05,6.5e+05]	107	1	1	0	0.00934579439252336	0.00934579439252336	0	623035.3177570093
heldout	Morris2023_v2	(6.5e+05,7e+05]	86	0	0	0	0	0	0	674904.3139534884
heldout	Morris2023_v2	(7e+05,7.5e+05]	87	0	0	0	0	0	0	725646.4367816092
heldout	Morris2023_v2	(7.5e+05,8e+05]	122	0	0	0	0	0	0	775024.131147541
heldout	Morris2023_v2	(8e+05,8.5e+05]	111	0	0	0	0	0	0	824658.2252252252
heldout	Morris2023_v2	(8.5e+05,9e+05]	84	1	0	1	0.0119047619047619	0	0.0119047619047619	874542.6785714285
heldout	Morris2023_v2	(9e+05,9.5e+05]	99	1	1	0	0.0101010101010101	0.0101010101010101	0	925700.1818181818
heldout	Morris2023_v2	(9.5e+05,1e+06]	114	0	0	0	0	0	0	974451.1578947369
training	Gasperini2019	[0,5e+04]	4926	255	251	4	0.05176613885505481	0.05095412099066179	8.120178643930166e-4	24674.66971173366
training	Gasperini2019	(5e+04,1e+05]	4653	59	56	3	0.01267999140339565	0.01203524607779927	6.447453255963894e-4	74297.18805071997
