2025-08-12 18:30:19.235804	https://www.encodeproject.org/report/?type=Annotation&annotation_type=element+gene+regulatory+interaction+predictions&software_used.software.name=distal-regulation-encode_re2g&status=released&field=%40id&field=accession&field=aliases&field=experimental_input&limit=all
ID	Accession	Aliases	Experimental input
/annotations/ENCSR737XPT/	ENCSR737XPT	jesse-engreitz:abc_predictions_stomach_ENCSR172PVJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stomach_ENCSR172PVJ_DNaseOnly	/experiments/ENCSR172PVJ/
/annotations/ENCSR222CLS/	ENCSR222CLS	jesse-engreitz:abc_predictions_activated_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR242CLA_DNaseOnly,jesse-engreitz:encode_re2g_predictions_activated_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR242CLA_DNaseOnly	/experiments/ENCSR242CLA/
/annotations/ENCSR792RWW/	ENCSR792RWW	jesse-engreitz:abc_predictions_stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR749YCR_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR749YCR_DNaseOnly	/experiments/ENCSR749YCR/
/annotations/ENCSR125REA/	ENCSR125REA	jesse-engreitz:abc_predictions_trophoblast_cell_ENCSR964MZQ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR964MZQ_DNaseOnly	/experiments/ENCSR964MZQ/
/annotations/ENCSR051YXR/	ENCSR051YXR	jesse-engreitz:abc_predictions_left_lung_ENCSR639XWF_DNaseOnly,jesse-engreitz:encode_re2g_predictions_left_lung_ENCSR639XWF_DNaseOnly	/experiments/ENCSR639XWF/
/annotations/ENCSR034TYW/	ENCSR034TYW	jesse-engreitz:abc_predictions_fibroblast_of_skin_of_left_biceps_ENCSR562ACY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_left_biceps_ENCSR562ACY_DNaseOnly	/experiments/ENCSR562ACY/
/annotations/ENCSR644TLE/	ENCSR644TLE	jesse-engreitz:abc_predictions_MG63_ENCSR083STA_DNaseOnly,jesse-engreitz:encode_re2g_predictions_MG63_ENCSR083STA_DNaseOnly	/experiments/ENCSR083STA/
/annotations/ENCSR825UFF/	ENCSR825UFF	jesse-engreitz:abc_predictions_trophoblast_cell_ENCSR593LTJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR593LTJ_DNaseOnly	/experiments/ENCSR593LTJ/
/annotations/ENCSR722XEP/	ENCSR722XEP	jesse-engreitz:abc_predictions_small_intestine_ENCSR594OWA_DNaseOnly,jesse-engreitz:encode_re2g_predictions_small_intestine_ENCSR594OWA_DNaseOnly	/experiments/ENCSR594OWA/
/annotations/ENCSR845BJH/	ENCSR845BJH	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR107XZC_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR107XZC_DNaseOnly	/experiments/ENCSR107XZC/
/annotations/ENCSR959HJJ/	ENCSR959HJJ	jesse-engreitz:abc_predictions_NAMALWA_ENCSR301OGM_DNaseOnly,jesse-engreitz:encode_re2g_predictions_NAMALWA_ENCSR301OGM_DNaseOnly	/experiments/ENCSR301OGM/
